OBJECTID,ADDRESS,NAME,LON,LAT,MORNING,NOON,NIGHT,TIPS,TYPE
1,"Museumstraat 1, 1071 XX Amsterdam, Nederland",Rijksmuseum,,,1,1,0,,indoor
2," Wolvenstraat 9, 1016 EM Amsterdam, Nederland",De 9 Straatjes,,,1,1,1,,outdoor
3,"Platanenweg, 1091 KS Amsterdam, Țările de Jos",Street Art Platanenweg,,,1,1,1,,outdoor
4,"Museumplein 6, 1071 DJ Amsterdam,Nederland",Van Gogh Museum,,,1,1,1,,indoor
5,"Elementenstraat 25, 1014 AR Amsterdam, Nederland",AMAZE Amsterdam,,,1,1,1,,indoor
6,"Prinseneiland 2, 1013 LR Amsterdam, Nederland",Quartier marecages,,,1,1,1,,outdoor
7,"Asterweg 22, 1031 HP Amsterdam, Nederland",Nxt Museum,,,1,1,1,,indoor
8,"Jodenbreestraat 4, 1011 NK Amsterdam, Nederland",Rembrandt House Museum,,,1,1,0,,indoor
9,"Dam 21, 1012 JS Amsterdam, Nederland",Ripley's Believe It or Not!,,,1,1,1,,indoor
10,"Linnaeusstraat 2, 1092 CK Amsterdam, Nederland",Tropenmuseum,,,1,1,0,,indoor
11,"Westermarkt 20, 1016 GV Amsterdam, Nederland",Anne Frank House Museum,,,1,1,1,,indoor
12,"Museumplein 10, 1071 DJ Amsterdam, Nederland",Stedelijk Museum,,,1,1,0,,indoor
13,"Oudekerksplein 23, 1012 GX Amsterdam, Nederland",Oude Kerk,,,1,1,1,,outdoor
14,"Plantage Kerklaan 38-40, 1018 CZ Amsterdam, Nederland",Artis,,,1,1,0,,outdoor
15,"Sarphatipark 37I, 1073 CP Amsterdam, Nederland",Sarphatipark,,,1,1,1,,outdoor
16,"Jan van Galenstraat, Amsterdam, Nederland",Erasmuspark,,,1,1,1,,outdoor
17,"Oostzaanstraat 45, 1013 WG Amsterdam, Nederland",Museum Het Schip,,,1,1,0,,indoor
18,"IJpromenade 1, 1031 KT Amsterdam, Nederland",Eye Film Museum,,,1,1,0,,indoor
19,"Meeuwenlaan 88, 1021 JK Amsterdam, Nederland",WONDR Experience,,,1,1,0,,indoor
20,"Kattenburgerplein 1, 1018 KK Amsterdam, Nederland",The National Maritime Museum,,,1,1,0,,indoor
21,"Damrak 66, 1012 LM Amsterdam, Nederland",BODY WORLDS Amsterdam,,,1,1,1,,indoor
22,"Oudezijds Achterburgwal 130, 1012 DT Amsterdam, Nederland",Hemp Gallery,,,1,1,1,,indoor
23,"Amstel 51, 1018 DR Amsterdam, Nederland",Hermitage Amsterdam,,,1,1,0,,indoor
24,"Nieuwe Amstelstraat 1, 1011 PL Amsterdam, Nederland",Jewish Museum,,,1,1,0,,indoor
25,"Nieuwezijds Voorburgwal 182I, 1012 SJ Amsterdam, Nederland",Magna Plaza,,,1,1,0,,indoor
26,"Nieuwezijds Voorburgwal 147, 1012 RJ Amsterdam, Nederland",Paleis op de Dam,,,1,1,1,,outdoor
27,"Reguliersbreestraat 26-34, 1017 CN Amsterdam, Țările de Jos",Pathe Tuschinski,,,1,1,0,,indoor
28,"1017 CT Amsterdam, Nederland",Remrandtplein,,,1,1,1,,outdoor
29,"Oudeschans 2, 1011 KX Amsterdam, Nederland",Montelbaanstoren,,,1,1,1,,outdoor
